sr,rr,t,lm,bo,rem,sr.1,hr,sl
88.45,28.61,97.83,19.38,84.77,106.21,3.37,93.55,4
90.71,22.94,97.25,15.57,88.86,89.18,3.93,81.09,3
84.59,24.33,96.83,15.52,87.66,92.19,3.45,77.37,3
65.81,18.15,94.81,7.38,96.12,67.29,6.98,65.11,1
71.91,20.75,95.3,11.56,91.72,84.35,5.9,79.35,2
94.18,27.76,98.67,17.66,84.96,114.56,2.92,98.79,4
75.54,20.45,96.38,11.32,90.88,80.06,5.99,70.36,2
98.04,29.66,98.58,17.97,86.85,119.44,2.75,88.94,4
67.72,21.68,95.43,12.06,93.79,85.73,6.13,70.62,2
88.28,22.06,97.88,13.7,88.91,98.26,4.69,89.0,3
87.13,24.59,97.01,15.15,87.15,103.55,2.91,89.8,3
89.45,22.83,96.84,14.44,90.57,101.18,4.62,81.82,3
96.24,27.31,97.78,18.14,84.96,113.68,2.61,97.84,4
91.75,24.47,97.87,13.85,90.04,92.21,4.43,87.41,3
90.28,23.8,96.53,13.48,89.03,90.59,3.25,90.29,3
79.21,21.8,96.38,15.95,90.07,104.96,4.36,78.99,3
66.81,18.47,94.86,8.79,95.74,76.72,7.01,62.13,1
64.19,18.96,94.64,7.33,94.63,70.23,6.54,63.68,1
90.8,26.9,98.84,16.37,86.01,111.51,1.94,93.54,4
74.89,21.51,96.01,11.94,91.64,82.24,5.15,78.31,2
69.52,20.11,96.95,12.47,94.21,75.98,5.93,73.13,2
59.6,18.75,94.49,8.6,96.01,73.66,6.01,71.5,1
93.9,28.27,99.13,18.41,85.37,104.67,3.14,101.5,4
88.89,25.58,97.83,13.0,89.94,101.69,2.93,86.76,3
92.19,29.62,98.85,18.98,86.77,109.15,3.8,98.1,4
66.08,19.7,94.19,6.27,94.39,77.11,6.07,62.51,1
84.35,23.75,96.3,13.65,89.8,105.38,5.05,79.33,3
56.52,18.53,95.09,7.62,96.04,75.94,6.46,61.7,1
54.79,16.71,93.46,6.59,96.7,63.45,7.76,63.72,0
79.95,22.03,95.07,10.45,94.31,78.11,4.86,76.8,2
88.3,24.19,96.94,15.21,87.59,104.45,3.35,93.27,3
94.82,27.5,99.36,16.39,82.55,114.64,2.52,89.37,4
87.13,25.5,99.26,16.39,82.62,105.6,2.57,98.38,4
100.18,27.77,98.73,17.34,83.15,111.43,2.0,93.52,4
95.55,28.84,97.45,18.69,85.76,111.52,2.43,101.61,4
65.35,19.14,93.97,5.8,94.64,67.59,6.53,71.95,1
89.54,26.89,98.26,16.03,86.43,111.66,2.59,89.63,4
56.23,18.44,95.2,7.74,94.59,77.73,6.05,67.73,1
89.2,27.29,98.9,19.29,88.17,119.33,2.93,96.89,4
84.13,22.41,95.07,11.52,91.27,92.95,4.96,78.94,2
85.5,22.05,96.27,12.44,91.09,92.38,4.65,84.12,3
85.73,22.7,97.38,13.44,88.49,100.48,3.98,80.85,3
67.71,20.13,95.6,11.55,93.79,78.28,5.83,74.23,2
83.78,24.04,97.01,13.72,87.93,91.91,4.86,87.94,3
92.65,27.87,97.63,17.58,86.59,114.02,1.97,97.83,4
54.85,18.86,94.82,7.08,95.44,79.74,7.16,66.74,1
81.47,24.71,96.98,13.55,91.94,91.59,3.56,80.75,3
57.15,18.26,94.4,7.65,94.99,67.73,7.23,69.55,1
73.79,21.29,95.23,10.72,92.57,85.69,5.26,71.37,2
52.45,16.53,92.08,4.75,96.46,60.94,8.51,64.34,0
70.4,19.73,95.08,8.83,93.81,83.75,6.3,70.62,2
98.14,28.92,98.5,17.28,85.89,121.43,1.57,86.81,4
93.38,26.2,97.77,16.67,82.48,116.92,3.89,98.76,4
68.51,19.16,95.2,6.25,94.48,67.59,6.59,65.9,1
60.17,19.66,94.75,8.38,95.83,76.43,5.93,63.21,1
56.38,19.88,95.2,6.98,95.06,65.72,6.96,66.58,1
69.09,19.12,96.55,11.43,94.32,75.71,6.49,71.57,2
99.46,29.2,98.16,17.52,86.79,103.81,3.72,95.97,4
59.6,18.34,93.65,7.1,96.34,72.43,7.19,58.86,0
48.87,18.37,93.77,4.77,97.78,62.63,6.91,60.84,0
48.57,18.16,92.66,5.23,97.55,54.94,6.76,58.92,0
61.43,18.44,94.89,7.54,96.12,68.3,6.41,71.39,1
67.14,18.65,94.51,6.73,94.29,67.92,7.32,69.0,1
91.33,25.64,99.44,19.48,85.3,106.05,2.04,93.28,4
90.41,28.18,99.21,17.03,86.96,117.8,2.22,93.89,4
47.84,17.09,92.87,5.64,96.58,57.06,7.3,56.68,0
63.07,19.06,94.25,6.49,94.41,65.67,5.92,65.23,1
69.67,22.25,96.58,10.21,93.15,78.61,5.16,75.93,2
79.39,20.58,95.64,11.29,91.67,74.97,5.98,71.62,2
64.92,19.29,94.57,9.21,94.47,77.57,6.7,71.16,1
54.02,17.17,94.15,6.97,96.19,60.19,7.86,61.33,0
94.83,25.88,98.28,17.33,84.19,118.12,3.16,98.95,4
46.72,18.03,93.11,6.59,97.46,62.88,7.0,55.2,0
93.48,24.68,99.14,15.73,86.96,101.96,3.35,96.17,4
71.91,20.33,95.17,10.77,94.49,79.23,4.9,78.26,2
95.73,28.33,98.08,16.96,86.79,119.35,1.4,92.77,4
66.9,19.18,94.56,9.29,96.4,67.37,6.93,66.92,1
71.48,21.53,95.32,12.51,94.25,86.24,5.21,75.22,2
67.46,18.87,96.38,9.16,93.62,77.86,6.82,70.81,2
54.74,16.91,93.82,6.78,97.17,64.75,8.44,58.47,0
67.38,22.14,95.96,10.95,91.85,78.45,4.88,76.47,2
60.14,16.76,93.76,4.5,97.78,68.04,8.88,58.89,0
65.56,20.92,95.89,10.5,94.8,80.54,5.3,72.54,2
56.53,18.46,94.45,6.88,96.09,70.09,7.17,64.94,1
91.16,29.05,98.66,18.81,83.66,101.95,2.18,101.63,4
83.82,21.98,97.26,16.42,86.93,100.34,4.47,85.6,3
57.63,18.82,94.88,6.97,95.33,78.92,7.23,71.94,1
56.97,16.79,94.08,4.62,97.0,63.11,7.68,62.35,0
50.61,16.13,93.68,4.11,97.73,67.27,7.02,63.48,0
92.07,24.58,97.4,16.27,89.53,97.75,4.12,81.59,3
91.45,28.61,99.05,16.0,85.4,104.73,3.28,99.62,4
67.53,18.24,94.24,9.41,94.02,73.7,6.58,69.6,1
90.62,29.06,98.98,16.7,82.83,104.26,3.17,91.75,4
72.76,20.63,96.54,12.11,91.81,78.7,6.21,75.71,2
55.11,17.42,93.31,6.09,97.06,61.55,8.22,59.15,0
51.4,17.07,93.06,4.33,96.76,69.61,8.29,60.89,0
84.71,23.3,97.47,14.0,86.97,103.39,3.72,85.19,3
57.34,17.9,93.56,4.31,97.35,69.59,7.82,56.07,0
56.28,19.33,94.04,6.73,95.29,79.02,6.97,69.28,1
82.76,22.02,96.28,12.84,89.71,99.24,3.13,79.11,3
78.88,22.29,97.38,12.53,88.04,92.34,5.18,85.26,3
64.65,19.75,94.38,9.68,94.92,72.22,5.93,65.66,1
67.16,20.14,95.16,12.04,91.21,75.23,6.33,75.26,2
75.15,21.57,95.5,12.12,91.88,77.48,5.82,79.38,2
64.9,20.12,95.36,9.76,94.95,81.17,5.67,68.71,1
57.41,17.98,94.21,7.94,96.1,65.05,6.36,71.73,1
58.62,18.27,94.01,6.17,97.5,57.87,8.74,58.42,0
73.35,22.59,95.22,12.84,93.98,78.99,6.5,76.81,2
97.28,28.77,98.32,19.37,82.28,105.5,3.13,93.27,4
46.14,17.99,93.58,5.03,96.82,62.96,8.58,60.27,0
60.85,18.2,94.06,7.15,95.17,77.87,7.38,68.15,1
46.89,16.64,93.37,4.54,97.69,68.04,8.95,61.72,0
90.65,25.12,96.73,14.07,90.5,101.67,3.38,77.35,3
68.22,19.56,94.66,7.82,95.12,73.65,7.0,64.61,1
45.13,17.86,94.0,6.3,97.2,56.55,7.98,55.42,0
81.39,24.13,97.41,14.13,91.15,100.5,3.41,86.04,3
90.82,26.73,98.24,19.95,85.38,117.6,2.2,92.47,4
82.21,22.81,96.59,14.27,88.27,95.58,4.27,84.32,3
47.74,17.87,93.63,5.47,97.16,64.47,7.97,59.92,0
52.02,17.11,93.54,4.9,97.19,68.34,8.52,60.57,0
65.53,21.42,95.61,12.03,93.75,79.96,5.57,75.62,2
66.45,18.83,94.27,7.61,96.04,66.74,6.91,65.03,1
